"VMName","PrimaryServer","ReplicaServer","ReplicationHealth","ReplicationMode","LastReplicationTime"
"JHSDCEXCIAPP01","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:55:42 AM"
"JHSDCEXCIAPP02","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:56:13 AM"
"JHSDCEXCIAPP03","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:53 AM"
"JHSDCHUSBAPP01","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:54 AM"
"JHSDCICTAXDBS01","JHSDCR29DBS01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:54:40 AM"
"JHSDCJBDBAPP01","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:52 AM"
"JHSDCJBORAPP01","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:06 AM"
"JHSDCJBORNFS01","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:47:11 AM"
"JHSDCJCEBDBS01","JHSDCR29DBS01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:35 AM"
"JHSDCJFRYDBS01","JHSDCR05DBS01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:14 AM"
"JHSDCJGRUAPP02","JHSDCR30WEB02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:55:04 AM"
"JHSDCJGRUSTM01","JHSDCR30WEB02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:59:09 AM"
"JHSDCJHJYDBS01","JHSDCR29DBS01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:13 AM"
"JHSDCJHLRDAS01","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:56:06 AM"
"JHSDCJIMSWEB1","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:47:06 AM"
"JHSDCJPDSNGS01","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:15 AM"
"JHSDCJPDSSLB01","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:47:10 AM"
"JHSDCJPDSWEB1","JHSDCR30WEB02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:54:54 AM"
"JHSDCJPDSWEB2","JHSDCR30WEB02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:43 AM"
"JHSDCJPDSWEB3","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:37 AM"
"JHSDCJPDSWEB4","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:55 AM"
"JHSDCJPDSWEB5","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:45:42 AM"
"JHSDCJPDSWEB6","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:46:06 AM"
"JHSDCJRCDAPP01","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:20 AM"
"JHSDCJRTEAPP01","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:56:08 AM"
"JHSDCJRTEDBS01","JHSDCR29DBS01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:35 AM"
"JHSDCJSECAPP01","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:47:12 AM"
"JHSDCJSECDBS01","JHSDCR29DBS01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:54:29 AM"
"JHSDCJSFSAPP1","JHSDCR30WEB02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:50:55 AM"
"JHSDCJSFSNFS1","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:50 AM"
"JHSDCJTMSAPP1","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:46:13 AM"
"JHSDCJTMSWEB1","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:46:05 AM"
"JHSDCJVSKAPP01","JHSDCR30WEB03.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:45:45 AM"
"JHSDCJXLNAPP01","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:47:11 AM"
"JHSDCKRMYAPP02","JHSDCR30WEB02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:50:49 AM"
"JHSDCKUSMAPI02","JHSDCR30WEB01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Critical","Replica","2/11/2025 10:58:05 AM"
"JHSDCKUSMAPP02","JHSDCR30WEB03.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:57:10 AM"
"JHSDCKUSMAPP04","JHSDCR30WEB03.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:09 AM"
"JHSDCMVTSAPP3","JHSDCR30APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:58:51 AM"
"JHSDCNPRTDBS01","JHSDCR29DBS01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:54:27 AM"
"JHSDCPDSSMSGQ1","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:45:57 AM"
"JHSDCPDSSMSGQ2","JHSDCR04APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:40 AM"
"JHSDCPTAXAPP01","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:48:00 AM"
"JHSDCPTAXDBS02","JHSDCR29DBS03.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:29 AM"
"JHSDCRCOTAPP01","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:59:18 AM"
"JHSDCRCOTDBS01","JHSDCR29DBS03.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:58:04 AM"
"JHSDCSAYAAPP02","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:22 AM"
"JHSDCSAYADBS02","JHSDCR05DBS06.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:00 AM"
"JHSDCSAYAGTW01","JHSDCR04APP02.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:46:15 AM"
"JHSDCSUKNDBS01","JHSDCR29DBS01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:50:50 AM"
"JHSDCSUKNDBS02","JHSDCR29DBS01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:29 AM"
"Win-2019-Bis","JHSDCR30APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Critical","Replica","2/10/2025 1:09:07 PM"
"win-2022-Bis","JHSDCR30APP01.jharkhandcloud.gov.in","DR-HV04-184-14.jharkhandcloud.gov.in","Critical","Replica","2/10/2025 1:20:41 PM"
"JHSDCAPDSAPP1","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:56 AM"
"JHSDCAPDSPRX1","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:46 AM"
"JHSDCBOREDBS01","JHSDCR05DBS04.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:04 AM"
"JHSDCBPMSNFS01","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:32 AM"
"JHSDCCLMSDBS1","JHSDCR05DBS04.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:57:10 AM"
"JHSDCIPDSAPP01","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:44 AM"
"JHSDCJAMCAPP01","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:59 AM"
"JHSDCJBCDAPP01","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:59:05 AM"
"JHSDCJBCDNFS01","JHSDCR29WEB02.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:40 AM"
"JHSDCJCRTDBS01","JHSDCR29DBS04.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:16 AM"
"JHSDCJHTEDBS01","JHSDCR29DBS04.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:40 AM"
"JHSDCJIMSAPI01","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:04 AM"
"JHSDCJIMSAPP3","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:44 AM"
"JHSDCJIMSAPP4","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:34 AM"
"JHSDCJRMCDBS01","JHSDCR30DBS05.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:03 AM"
"JHSDCJRTENFS01","JHSDCR29WEB02.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:14 AM"
"JHSDCJSPSAPP1","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:54:30 AM"
"JHSDCJSPSNFS1","JHSDCR29WEB02.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:53:33 AM"
"JHSDCJSWMDBS01","JHSDCR29DBS04.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:49 AM"
"JHSDCMHIDAPP01","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:52:57 AM"
"JHSDCPDSPRX1","JHSDCR29WEB01.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:11 AM"
"JHSDCSAVINFS01","JHSDCR29WEB03.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:14 AM"
"JHSDCSMDCDBS03","JHSDCR29DBS02.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:51:17 AM"
"JHSDCVALTDBS01","JHSDCR29DBS02.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:47:13 AM"
"JHSDCVALTDBS02","JHSDCR29DBS04.jharkhandcloud.gov.in","DR-HV05-10-82-184-15.jharkhandcloud.gov.in","Normal","Replica","2/12/2025 8:47:13 AM"
